from_json,title,description,Topic Label,Positive/Negative/Neutral
Nov18_Left_pre.json,What Do the Final New York Mayoral-Race Polls Say?,"With days to go before Election Night, here’s where Zohran Mamdani, Andrew Cuomo, and Curtis Sliwa currently stand in the mayoral polls.",Mayoral Election (analysis),Neutral
Nov18_Left_pre.json,Bill de Blasio Impostor Dupes U.K. Paper With Fake Anti-Mamdani Quotes,The Times of London was forced to retract an article after it ran quotes criticizing Zohran Mamdani from a person claiming to be former mayor Bill de Blasio.,Gossip,Negative
Nov18_Left_pre.json,Jeffries Finally Endorses Mamdani in the Most Tepid Way Possible,"After holding out for months, at almost the last possible moment before early voting begins, the House minority leader Hakeem Jeffries officially okayed the idea of Zohran Mamdani for mayor.",Mayoral Election (analysis),Positive
Nov18_Left_pre.json,Will It Be Mamdani or Cuomo? Election Night Live Updates.,"Tonight’s the night. We’ll soon know whether the next mayor of New York will be Zohran Mamdani or Andrew Cuomo. Here are the latest results and updates, along with analysis and commentary, as Election Night plays out.",Mayoral Election (coverage),Neutral
Nov18_Left_pre.json,How Zohran Mamdani should confront Trump’s relentless intimidation campaign,This month is the 63rd anniversary of the Cuban missile crisis.,Trump,Neutral
Nov18_Left_pre.json,"Sliwa Defies Intense Pressure From Cuomo, Post to Drop Out",All five of the city’s Republican Party chairmen issued a statement backing Curtis Sliwa as their nominee as other top conservatives are urging him to leave the race.,N/A,N/A
Nov18_Left_pre.json,Zohran Mamdani said the quiet part out loud. Finally.,The New York City mayoral candidate released a video about his identity as a Muslim and the galling Islamophobia he has endured during his campaign.,Racism,Negative
Nov18_Left_pre.json,Six Things to Know Now That It’s Election Day,"When we may know the winner, what the turnout means so far, and some other things to think about now that mayoral race between Zohran Mamdani and Andrew Cuomo is about to end.",Mayoral Election (coverage),Neutral
Nov18_Left_pre.json,"As Mamdani nears victory, Democrats worry about national fallout",Democratic socialist Zohran Mamdani is on the cusp of a mayoral win in New York. And national Democrats are concerned about what that means for the party.,Democrat Party Politics,Negative
Nov18_Left_pre.json,Zohran Mamdani slams JD Vance for pushing ‘cheap jokes about Islamophobia’,"Zohran Mamdan hit back at JD Vance, accusing the vice president and opponent Andrew Cuomo of pushing “cheap jokes about Islamophobia.”",Racism,Positive
Nov18_Left_pre.json,Eric Adams Is Endorsing ‘Snake and Liar’ Cuomo for Mayor,Soon-to-be former mayor Eric Adams and former governor who wants to be mayor Andrew Cuomo are making nice in the hopes of stopping Zohran Mamdani. It’s not clear if Adams will also say Cuomo is no longer ‘a snake and a liar.’,Gossip,Negative
Nov18_Left_pre.json,Cuomo Is Racking Up Weird Last-Minute Endorsements,"In the final days of the mayoral race, former governor Andrew Cuomo has been racking up quasi-endorsements from Donald Trump, Elon Musk, and some self-professed foes.",Trump,Neutral
Nov18_Left_pre.json,The Final Leg of New York’s Mayoral Race Has Gotten Ugly,"The last days have been marked by bigotry, bitterness, and broken friendships, writes columnist Errol Louis.",Mayoral Election (analysis),Negative
Nov18_Left_pre.json,Why Almost All Signs Point to a Mamdani Victory,"A long talk with political analyst Michael Lange about what we’ve learned from the massive New York City early vote, the final phase of the campaign, and why he’s as confident as ever about Mamdani claiming a big victory.",Mayoral Election (coverage),Positive
Nov18_Left_pre.json,Can Cuomo persuade enough New Yorkers to be scared of Mamdani?,"With less than a week to go in New York City’s mayoral race, Andrew Cuomo appeared on Fox News with host Maria Bartiromo to deliver his closing pitch to New Yorkers heading to the ballot box.",Mayoral Election (coverage),Negative
Nov18_Left_pre.json,Trump endorses former Gov. Andrew Cuomo for New York City mayor,"The president had already offered tepid support in a CBS News interview aired on Monday, but doubled down just before the general election.",Trump,Negative
Nov18_Left_pre.json,Trump is on the ballot in these seven races,Several key races around the country will give an indication of President Donald Trump's continuing influence on politics.,Trump,Neutral
Nov18_Left_pre.json,Elise Stefanik’s Bad Career Move: Running for Governor of New York,Elise Stefanik’s meteoric rise took a detour after Trump passed her over for the vice-presidency and then deep-sized her U.N. gig. Now she’s trying a very long shot at the New York governorship against Kathy Hochul in 2026.,Trump,Neutral
Nov18_Left_pre.json,"Trump Lowers Flags, Says Nothing About Dick Cheney’s Death","Trump lowers flags but says nothing about Dick Cheney’s death. The White House hasn’t issued a statement or response on the death of the former VP, who once called Trump the greatest “threat to our Republic.”",Trump,N/A
Nov18_Left_pre.json,"Zohran Mamdani, Bernie Sanders and Alexandria Ocasio-Cortez slam Trump at raucous rally","New York City mayoral hopeful Zohran Mamdani and two of his most prominent backers, Sen.",Trump,Positive
Nov18_Left_pre.json,Hakeem Jeffries endorses Zohran Mamdani for New York City mayor,"House Minority Leader Hakeem Jeffries on Friday endorsed the Democratic nominee in the New York City mayoral race, Zohran Mamdani",Democrat Party Politics,Positive
Nov18_Left_pre.json,Inside Zohran Mamdani’s private influencer briefing,"Zohran Mamdani’s rapid rise in New York City has gone hand in hand with his savvy social media presence and easy navigation of the universe of influential podcasters, YouTubers and TikTokers",N/A,Positive
Nov18_Left_pre.json,Trump says Jewish people who support Zohran Mamdani for New York City mayor are 'stupid',"President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid.""“Any Jewish person that votes for Zohran Mamdani, a proven and self professed JEW HATER, is a stup…",Trump,Negative
Nov18_Center_pre.json,Texas Gov. Abbott says he’ll ‘impose 100% tariff’ on New Yorkers who move in,"The power to impose tariffs falls within the federal government’s authority in the Constitution, not the states.",NYC Exodus/Degredation,Negative
Nov18_Center_pre.json,"Election Day live updates: Key races unfold in New York City, New Jersey and Virginia","Follow live coverage of the U.S. November 4, 2025 elections: Results, analysis, key state and local races, and what they mean for the 2026 midterms.",Mayoral Election (coverage),Neutral
Nov18_Center_pre.json,National spotlight shines on NYC mayoral race as voters make final decisions,"All eyes are on New York City as Election Day arrives, marking the final opportunity for voters to weigh in on the high-stakes mayoral race.",Mayoral Election (coverage),Neutral
Nov18_Center_pre.json,NYC candidate Andrew Cuomo: 'You can be a New Yorker and not understand New Yorkers',Cuomo sat down with ABC News' Linsey Davis on Thursday.,Mayoral Election (analysis),N/A
Nov18_Center_pre.json,Johnson defends calling anti-Trump protests 'hate America' rallies,"House Speaker Mike Johnson defended calling this weekend's ""No Kings"" rallies opposing President Donald Trump as ""hate America"" rallies.",Trump,N/A
Nov18_Center_pre.json,WATCH: Massive pod of dolphins charges past boat,"Whale watching guides off the coast of San Diego, California, were stunned by the sight of thousands of dolphins leaping past their boat.",N/A,N/A
Nov18_Center_pre.json,WATCH: David Beckham knighted by King Charles at Windsor Castle,Soccer legend David Beckham is now Sir David Beckham after being knighted Tuesday by King Charles III.,N/A,N/A
Nov18_Center_pre.json,WATCH: How will Dick Cheney's role in the Iraq war impact his legacy?,ABC News political contributor Mary Jordan shares how former Vice President Dick Cheney’s role as the mastermind behind much of the Bush administration's strategy in Iraq could shape his legacy.,N/A,N/A
Nov18_Center_pre.json,WATCH: Aerial footage shows San Francisco swathed in fog,Drone footage shows fog blanketing the San Francisco Bay Area.,N/A,N/A
Nov18_Center_pre.json,WATCH: NJ gubernatorial nominee surprised by son's return from Army on eve of election,"While campaigning at a bar in North Jersey on Monday, New Jersey Republican gubernatorial candidate Jack Ciattarelli was surprised by the return of his son, who is currently stationed in Kuwait.",N/A,N/A
Nov18_Center_pre.json,WATCH: Train slams into semi-trailer stuck on tracks in Texas,A train slammed into a semi-trailer truck carrying cars after a driver attempted to maneuver across a level crossing.,N/A,N/A
Nov18_Center_pre.json,WATCH: Two girls thrown from Ferris wheel at Louisiana harvest festival,"Both girls are under 13 years old and were transported to the hospital, with one of them being airlifted to the facilities.",N/A,N/A
Nov18_Center_pre.json,WATCH: Texas attorney general sues makers of Tylenol over alleged autism claims,"Last month, President Trump claimed that Tylenol use during pregnancy is linked to an increased risk of autism, despite limited evidence to suggest an association.",Trump,N/A
Nov18_Center_pre.json,WATCH: Police officer caught without pants during video court hearing,A Detroit police officer was caught during a court appearance with his pants down — literally.,N/A,N/A
Nov18_Center_pre.json,WATCH: Medieval tower partially collapses in Rome,"One worker was critically injured and another trapped in the collapse, authorities said.",N/A,N/A
Nov18_Center_pre.json,WATCH: Man struggles to walk as powerful winds hit France,"Strong winds in central France made it difficult for the man seen in this video to stay upright, much less make any forward progress.",N/A,N/A
Nov18_Center_pre.json,WATCH: Lobby of luxury Florida hotel flooded amid storms,Experts said the storm unleased rains comparable to what the region saw from a hurricane in 2022.,N/A,N/A
Nov18_Center_pre.json,WATCH: Hurricane Melissa has made landfall in Jamaica as a Category 5 hurricane,"Melissa is set to bring catastrophic winds, rain, flooding and storm surge to Jamaica, where residents and tourists are sheltering in place.",N/A,N/A
Nov18_Center_pre.json,WATCH: More homes fall into ocean along North Carolina’s Outer Banks,"Several more North Carolina homes have collapsed into the Atlantic Ocean, and more could collapse in the coming days, according to the National Park Service.",N/A,N/A
Nov18_Center_pre.json,WATCH: JetBlue flight makes emergency landing after losing altitude,"A JetBlue flight traveling from Mexico to New Jersey on Thursday made an emergency landing after experiencing a drop in altitude, leaving several passengers injured, according to the airline.",N/A,N/A
Nov18_Center_pre.json,WATCH: Train plows into truck caught on tracks in the Netherlands,"Surveillance footage captured the moment a train plowed into a truck caught at a railroad crossing in the Netherlands, sending its cargo of pears flying.",N/A,N/A
Nov18_Center_pre.json,WATCH: 'A lot of questions being raised' after Trump orders nuclear weapons testing,"ABC News senior Pentagon reporter Luis Martinez on President Donald Trump ordering the Pentagon to resume nuclear testing on an ""equal basis"" to other countries' testing programs.",Trump,N/A
Nov18_Center_pre.json,WATCH: President Trump and Melania Trump celebrate Halloween at the White House,"President Trump and first lady Melania Trump welcomed trick-or-treaters to the White House on Thursday, an annual Halloween tradition.",Trump,N/A
Nov18_Center_pre.json,WATCH: Devastating aftermath of Hurricane Melissa in Jamaica,Entire communities have been devastated or isolated after taking a direct hit form the powerful storm.,N/A,N/A
Nov18_Center_pre.json,WATCH: NASA's supersonic jet makes historic test flight,"NASA's supersonic X-59 jet took its first test flight this week in California, with an agency official calling the plane ""the future of supersonic travel.""",N/A,N/A
Nov18_Center_pre.json,WATCH: Former Illinois deputy found guilty in Sonya Massey murder,Sean Grayson was on trial for fatally shooting Sonya Massey in her home.,N/A,N/A
Nov18_Center_pre.json,"WATCH: Prince Andrew stripped of his 'prince' title, per Buckingham Palace","Andrew will now officially be known as Andrew Mountbatten Windsor, according to the palace.",N/A,N/A
Nov18_Center_pre.json,WATCH: Dog owner uses smelly socks to lure lost pet back home,A 93-year-old man has been reunited with his lost dog — thanks to a pair of smelly socks.,N/A,N/A
Nov18_Center_pre.json,WATCH: Obama: 'Country and our politics are in a pretty dark place right now',"Jersey's race for governor at a rally in Newark on Saturday, saying the ""country and our politics are in a pretty dark place right now.""",N/A,N/A
Nov18_Center_pre.json,WATCH: Snow leopard cub treated to first pumpkin at Michigan zoo,A snow leopard cub named Juniper was treated to her first pumpkin during Halloween-themed enrichment at the John Ball Zoo in Michigan.,N/A,N/A
Nov18_Center_pre.json,"Affordability takes center stage in New Jersey, Virginia governor races","How voters are grappling with economic challenges, and who they hold responsible for them, could shape the outcome of the major gubernatorial races.",Mayoral Election (analysis),Neutral
Nov18_Center_pre.json,WATCH: LA Dodgers fans take to streets to celebrate World Series win,Celebrating fans took to the streets in Los Angeles as the Dodgers won their second consecutive World Series.,N/A,N/A
Nov18_Center_pre.json,"Trump calls NYC mayoral front-runner Zohran Mamdani a ""communist""","Some have called Zohran Mamdani, the Democratic socialist front-runner for New York City mayor, a left-wing version of President Trump. ""I think I'm a much better looking person than him,"" says Trump, after calling Mamdani a ""communist.""",Trump,Negative
Nov18_Center_pre.json,Zohran Mamdani says Andrew Cuomo uses 'racist' attacks in NYC mayor's race,"NYC mayoral frontrunner Zohran Mamdani, a Democrat said the ""disgusting"" attacks on his Muslim faith are coming from both parties.",Racism,Negative
Nov18_Center_pre.json,"Trump: ""Hard for me"" to give money to NYC if ""communist"" Mamdani is mayor","Days before Election Day, the president told correspondent Norah O'Donnell that he would potentially withhold federal funds if front-runner Zohran Mamdani wins the election for NYC mayor.",Trump,Negative
Nov18_Center_pre.json,"Bernie Sanders says a Mamdani win in NYC would send message that ""we can take on the oligarchs""","Vermont Sen. Bernie Sanders joins ""The Takeout"" to discuss his support for Zohran Mamdani in the New York City mayoral race, one day before Election Day.",Mayoral Election (analysis),Positive
Nov18_Center_pre.json,Democratic socialist Zohran Mamdani shoots to stardom ‘like a young Obama',The overnight sensation leading NYC polls has a lot in common with another telegenic young politician who skyrocketed to fame.,Democrat Party Politics,Positive
Nov18_Center_pre.json,"Obama, Mamdani talk as Election Day approaches in New York City mayor's race","Zohran Mamdani is viewed as the leading candidate to become the next mayor of New York City, even as the contest has divided the normal partisan lines between Republicans and Democrats.",Mayoral Election (coverage),Neutral
Nov18_Center_pre.json,"Obama called Mamdani and praised his campaign, sources tell CBS News","Former President Barack Obama rallied with Virginia's Democratic candidate for governor, Abigail Spanberger, on Saturday, a move he has not made for New York City mayoral candidate Zohran Mamdani. But sources tell CBS News that Obama called Mamdani and praise…",Democrat Party Politics,Positive
Nov18_Center_pre.json,"Brian Lehrer on final New York City mayoral debate between Mamdani, Cuomo and Sliwa","Brian Lehrer, host of ""The Brian Lehrer Show"" on WNYC, joins CBS News with his thoughts on Wednesday night's debate between New York City mayoral candidates Zohran Mamdani, Andrew Cuomo and Curtis Sliwa.",Mayoral Election (analysis),Neutral
Nov18_Center_pre.json,What to know about NYC mayoral race as voters head to polls,"In the New York mayoral race, self-described Democratic socialist Zohran Mamdani leads former New York Democratic Gov. Andrew Cuomo in the polls. CBS News' Ed O'Keefe reports on the latest in the race.",Mayoral Election (coverage),Positive
Nov18_Center_pre.json,"What New York City power players think of Zohran Mamdani, according to former Obama aide","Patrick Gaspard, a former executive director for the Democratic National Committee, has helped connect New York City mayoral candidate Zohran Mamdani with many of the city's power players, according to The New York Times. Gaspard joins ""The Takeout"" to discus…",Democrat Party Politics,Positive
Nov18_Center_pre.json,Democratic Rep. Tom Suozzi explains why he's not backing Zohran Mamdani for NYC mayor,"Democratic Rep. Tom Suozzi of New York is backing Andrew Cuomo in the New York City mayoral race over Zohran Mamdani, the winner of the city's Democratic primary. Suozzi joins ""The Takeout"" to explain why.",Mayoral Election (analysis),Negative
Nov18_Center_pre.json,"Cuomo could still beat Mamdani in NYC mayoral race, political analyst says","Andrew Cuomo, Zohran Mamdani and Curtis Sliwa faced off in the final New York City mayoral debate on Wednesday. Political analyst Hank Sheinkopf joins CBS News with his take on the potential outcomes of the race.",Mayoral Election (analysis),Negative
Nov18_Center_pre.json,"New York City early vote count blows past 400,000 mark","New York City is seeing a massive early voting spike compared to 2021 due to the high-profile mayoral race between Zohran Mamdani, Andrew Cuomo and Curtis Sliwa. CBS News' director of election analytics Kabir Khanna breaks down the numbers.",Mayoral Election (analysis),Neutral
Nov18_Center_pre.json,"Trump: Will be ""hard"" to give money if ""communist"" Mamdani is mayor","Days before Election Day, the president dismissed former New York governor Andrew Cuomo's suggestion that he would send ""tanks"" to New York City if front-runner Zohran Mamdani wins.",Trump,Negative
Nov18_Center_pre.json,Zohran Mamdani commands double-digit lead over opponents in New York City mayoral race,"Voters in New York, New Jersey, Virginia and California have already hit the polls for early voting before election day on Nov. 4. CBS News producer Jared Ochacher is following the New York City mayoral race.",Mayoral Election (coverage),Positive
Nov18_Right_pre.json,Zohran Mamdani Calls ICE 'Reckless Entity' in Vow to Make New York City's Sanctuary Policy More Extreme,"Democrat candidate for New York City mayor Zohran Mamdani, a self-proclaimed socialist, is vilifying ICE agents. The post Zohran Mamdani Calls ICE ‘Reckless Entity’ in Vow to Make New York City’s Sanctuary Policy More Extreme appeared first on Breitbart.",Democrat Party Politics,Positive
Nov18_Right_pre.json,Hakeem Jeffries Surrenders Democrat Party to Zohran Mamdani,"Socialists have succeeded in capturing a major American political party, as House Minority Leader Hakeem Jeffries endorsed Democratic socialist New York City mayoral nominee Zohran Mamdani Friday after months of resistance and internal division. The post Hake…",Democrat Party Politics,Positive
Nov18_Right_pre.json,Zohran Mamdani: My Politics Are Built on Extending Human Rights to 'Queer and Trans Ugandans',"New York socialist mayoral candidate Zohran Mamdani said during Wednesday night's debate that his political beliefs are rooted in believing that human rights extend to queer and trans individuals, including ""queer and trans Ugandans,"" specifically. The post Z…",Mayoral Election (analysis),Positive
Nov18_Right_pre.json,"Arafat’s Former Adviser, Palestinian-Israeli MK Ahmad Tibi, Endorses NYC Socialist Zohran Mamdani","One of Israel’s most polarizing lawmakers — Ahmad Tibi, a member of the Knesset who describes himself as Palestinian-Israeli and once served as an adviser to Yasser Arafat — urged New Yorkers to “Go Zohran!” on Monday, hailing socialist mayoral nominee Zohran…",Isreal-Palestine Conflict,Positive
Nov18_Right_pre.json,Socialist Zohran Mamdani Vows to Fight Trump Administration over Trump Funding Threats,"New York City (NYC) Democrat socialist mayoral candidate Zohran Mamdani vowed that if elected to be the next mayor of the city, he would fight against President Donald Trump and his administration in response to threats to stop federal funding from going to t…",Trump,Positive
Nov18_Right_pre.json,Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor,An incredible 26.5 percent of New York City residents are considering fleeing the city if the Democrat/communist/Islamist Zohran Mamdani wins next month’s mayoral race. The post Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor a…,NYC Exodus/Degredation,Negative
Nov18_Right_pre.json,Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign Contributions,"Communist/Islamist/Fabulist/Democrat Zohran Mamdani is less than one week away from becoming the next mayor of New York City, and already he is facing two criminal referrals. The post Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign …",Gossip,Negative
Nov18_Right_pre.json,WATCH: Zohran Mamdani Tries to Blame Trump for Election-Day Bomb Threats,"New York City mayoral candidate, socialist Zohran Mamdani, appeared to blame President Donald Trump for bomb threats at polling places in New Jersey on Tuesday as voters showed up to cast their ballots. The post WATCH: Zohran Mamdani Tries to Blame Trump for …",Trump,Negative
Nov18_Right_pre.json,F*ck New York': Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign,"Ex-Braves pitcher John Rocker is raking New York City over the coals once again, this time about socialist mayoral candidate Zohran Mamdani. The post ‘F*ck New York’: Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign appeared first on Br…",Gossip,Negative
Nov18_Right_pre.json,Zohran Mamdani Says He Will Defend Illegal Aliens' Right to Live in NYC,Democrat mayoral candidate Zohran Mamdani says he will defend the rights of illegal aliens to live in New York City against President Donald Trump. The post Zohran Mamdani Says He Will Defend Illegal Aliens’ Right to Live in NYC appeared first on Breitbart.,Trump,Negative
Nov18_Right_pre.json,"*** Election Night LiveWire *** Results in New York, New Jersey, Virginia as Zohran Mamdani Rises to Become Leader of Democrat Party","Socialist Zohran Mamdani will complete his hostile takeover of the Democrat Party nationally, assuming the polls are right and he is elected mayor of New York City on Tuesday. When the race is called, assuming he wins, Mamdani will have successfully supplante…",Gossip,Negative
Nov18_Right_pre.json,Trump on Mamdani: 'I'm a Much Better Looking Person',"On Sunday's ""60 Minutes,"" President Donald Trump said he is better-looking than Queens Assemblyman and New York City mayoral candidate Zohran Mamdani (D). The post Trump on Mamdani: ‘I’m a Much Better Looking Person’ appeared first on Breitbart.",Trump,Negative
Nov18_Right_pre.json,Michael Rapaport Slams Zohran Mamdani Over His Refusal to Condemn Hamas: 'He Is So Full of F**king S**t',"Michael Rapaport slammed Democrat Socialist New York City mayoral frontrunner Zohran Mamdani over his refusal to call on the terrorist group Hamas to lay down their arms. ""He is so full of f**king s**t,"" the actor declared. The post Michael Rapaport Slams Zoh…",Isreal-Palestine Conflict,Negative
Nov18_Right_pre.json,Trump Endorses Cuomo for NYC Mayor,State of the Union: Cuomo earns President Trump’s seal of approval the night before Tuesday’s election. The post Trump Endorses Cuomo for NYC Mayor appeared first on The American Conservative.,Trump,Negative
Nov18_Right_pre.json,"International Filmmaker Mira Nair, Zohran Mamdani's Mother, Described Her Socialist Son as 'Not an American at All'","Indian American filmmaker Mira Nair — the mother of Democrat Socialist New York City mayoral frontrunner Zohran Mamdani — described her son as ""not an American at all"" in an unearthed 2013 interview. The post International Filmmaker Mira Nair, Zohran Mamdani’…",Gossip,Negative
Nov18_Right_pre.json,Maher: Mamdani 'Did Campaign with a Terrorist',"On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher said that “Sarah Palin used to say Obama palled around with terrorists, which was bullshit,” but New York City mayoral candidate Assemblyman Zohran Mamdani (D) “did campaign with a terrorist The post…",Gossip,Negative
Nov18_Right_pre.json,"Exclusive -- Nate Morris: America Will Have More Zohran Mamdanis if We Do Not Secure Border, Send Illegal Aliens Back",Kentucky Senate Republican candidate Nate Morris said on Breitbart News Saturday that America will have more socialist candidates such as Zohran Mamdani if the country does not secure the border and send illegal aliens back. The post Exclusive — Nate Morris: …,Racism,Negative
Nov18_Right_pre.json,"Andrew Cuomo Distances Himself from Trump Endorsement: POTUS 'Does Not Support Me,' Opposes 'Existential Threat' Mamdani","Former New York Gov. and New York City mayoral candidate Andrew Cuomo (D) responded to the news that President Donald Trump endorsed him, pointing out that Trump ""opposes"" Democrat Socialist NYC mayoral candidate Zohran Mamdani more, and believes Mamdani is a…",Trump,Negative
Nov18_Right_pre.json,Michael Moore Promotes Hoax Mamdani Aunt Story While Backing 'New York City's Next Mayor',"Far-left filmmaker Michael Moore has fallen head-over-heels for Zohran Mamdani, frontrunner in New York City's mayoral race, and promoted the Democratic Socialist's questionable story of his ""aunt"" facing Islamophobia after the September 11 terrorist attacks.…",Racism,Positive
Nov18_Right_pre.json,Informal Mamdani Adviser: His Israel Views Are Crucial to Getting Support,"During a portion of an interview with PBS aired on Monday’s “PBS NewsHour,” Patrick Gaspard, an informal adviser to the campaign of New York City mayoral candidate Assemblyman Zohran Mamdani, said that Mamdani’s (D) views on Israel and Gaza are The post Infor…",Isreal-Palestine Conflict,Neutral
Nov18_Right_pre.json,Mamdani Campaigns with Unindicted Co-Conspirator in 1993 WTC Bombing,"New York City Democratic Party mayoral nominee Zohran Mamdani campaigned Friday with radical Imam Siraj Wahhaj, an Islamist who was an unindicted co-conspirator in the 1993 World Trade Center bombing. The post Mamdani Campaigns with Unindicted Co-Conspirator …",Gossip,Negative
Nov18_Right_pre.json,Researchers: China's TikTok Boosts Pro-Mamdani Content in Algorithm,"Researchers say they found that China's TikTok ""systematically boosts"" content using in favor of Socialist New York City mayoral candidate Zohran Mamdani and against former NYC Mayor Andrew Cuomo (D) using its content algorithm. The team asserts that this goe…",Gossip,Positive
Nov18_Right_pre.json,Poll: Elise Stefanik Leads Kathy Hochul in Deep-Blue New York as Socialist Mamdani Tops Mayoral Field,"A new independent survey shows Rep. Elise Stefanik (R-NY) edging ahead of Democrat Gov. Kathy Hochul in a potential 2026 gubernatorial matchup, even as New York City Assemblyman Zohran Mamdani maintains a commanding lead in the upcoming mayoral race. The post…",N/A,Positive
Nov18_Right_pre.json,AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’,"Rep. Alexandria Ocasio-Cortez joined NYC mayoral nominee Zohran Mamdani at a rally in Queens, calling on supporters to reject claims that their movement is “crazy.” The post AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’ appeared …",Mayoral Election (analysis),Positive
Nov18_Right_pre.json,"Newsom: Mamdani Isn't Bad for Party, Dems Can Unite on Common 'Social Justice,' 'Economic Justice'","During an interview with CNN aired on Monday’s broadcast of CNN’s “The Story Is,” California Gov. Gavin Newsom (D) said that New York City mayoral candidate Assemblyman Zohran Mamdani (D) isn’t bad for the Democratic Party and responded to a The post Newsom: …",Democrat Party Politics,Positive
Nov18_Right_pre.json,Charlemagne Tha God: It’s Time Schumer and Jeffries Face Primaries So Socialists Like Mamdani Can Have a Chance to Lead Democrats,Popular liberal radio host and podcaster Charlemagne Tha God used Comedy Central's platform to call for Democrat leaders to face primaries so socialists like Zohran Mamdani could get their shot at leading the increasingly left-wing party. The post Charlemagne…,Democrat Party Politics,Positive
Nov18_Right_pre.json,Veteran British Socialist Jeremy Corbyn Campaigning For Zohran Mamdani Ahead of New York Election,"Corbyn once called U.S. involvement in British elections ""entirely unacceptable"" and was purged from his own party over antisemitism scandals. The post Veteran British Socialist Jeremy Corbyn Campaigning For Zohran Mamdani Ahead of New York Election appeared …",Mayoral Election (analysis),Negative
Nov18_Right_pre.json,"Trump Urges NYC to Vote for Andrew Cuomo, Warns Voting for Curtis Sliwa 'Is a Vote For' Socialist Mamdani","President Donald Trump encouraged people in New York City to vote for former New York Gov. Andrew Cuomo (D) in the city's mayoral election, warning that a vote for NYC Republican mayoral candidate Curtis Sliwa is a ""vote for"" socialist Zohran Mamdani, the Dem…",Trump,Negative
Nov18_Right_pre.json,Jon Stewart Hails Socialist Mamdani's Candidacy a 'Jackie Robinson Moment' in Tongue Bath Interview,"Comedian Jon Stewart hosted a softball interview with Democratic Socialist Zohran Mamdani during a segment of ""The Daily Show"" this week, hailing him for his ""affirmative"" messaging while calling his candidacy a ""Jackie Robinson moment."" The post Jon Stewart …",N/A,Negative
