author,content,description,from_json,publishedAt,source.id,source.name,title,url
Nia Prater,"The Manhattan Institute, a conservative think tank, released poll results on October 28 finding Mamdani continuing to hold onto his double-digit lead in the race. The assemblyman received 43 percent …","With days to go before Election Night, here’s where Zohran Mamdani, Andrew Cuomo, and Curtis Sliwa currently stand in the mayoral polls.",Nov18_Left_pre.json,2025-10-28T21:29:21Z,new-york-magazine,New York Magazine,What Do the Final New York Mayoral-Race Polls Say?,http://nymag.com/intelligencer/article/nyc-mayor-mamdani-cuomo-sliwa-final-polls-results.html
Nia Prater,"In a September op-ed, former mayor Bill de Blasio officially endorsed Democratic mayoral nominee Zohran Mamdani, praising his ambitious platform calling for universal child care, a rent freeze for te…",The Times of London was forced to retract an article after it ran quotes criticizing Zohran Mamdani from a person claiming to be former mayor Bill de Blasio.,Nov18_Left_pre.json,2025-10-29T14:04:59Z,new-york-magazine,New York Magazine,Bill de Blasio Impostor Dupes U.K. Paper With Fake Anti-Mamdani Quotes,http://nymag.com/intelligencer/article/de-blasio-imposter-dupes-times-of-london-fake-anti-mamdani-quotes.html
Nia Prater,"He made it just under the wire. On Friday, House Minority Leader Hakeem Jeffries finally announced his endorsement of Democratic nominee Zohran Mamdani following months of anticipation and hours ahe…","After holding out for months, at almost the last possible moment before early voting begins, the House minority leader Hakeem Jeffries officially okayed the idea of Zohran Mamdani for mayor.",Nov18_Left_pre.json,2025-10-24T18:48:56Z,new-york-magazine,New York Magazine,Jeffries Finally Endorses Mamdani in the Most Tepid Way Possible,http://nymag.com/intelligencer/article/jeffries-endorses-mamdani-in-the-most-tepid-way-possible.html
Intelligencer Staff,"Given the many excesses of Trump 2.0, and the desperate desire of Democrats for signs of a backlash, the results of off-year elections in New Jersey, Virginia, California, Pennsylvania, and New York …","Tonight’s the night. We’ll soon know whether the next mayor of New York will be Zohran Mamdani or Andrew Cuomo. Here are the latest results and updates, along with analysis and commentary, as Election Night plays out.",Nov18_Left_pre.json,2025-11-04T23:04:00Z,new-york-magazine,New York Magazine,Will It Be Mamdani or Cuomo? Election Night Live Updates.,http://nymag.com/intelligencer/article/nyc-mayor-election-results-mamdani-cuomo-exit-polls-winner-news-updates.html
Nick Akerman,"This month is the 63rd anniversary of the Cuban missile crisis. In October 1962, Russian Premier Nikita Khrushchev tried to intimidate the young first-term U.S. President, John F. Kennedy, by moving …",This month is the 63rd anniversary of the Cuban missile crisis.,Nov18_Left_pre.json,2025-10-24T10:00:00Z,msnbc,MSNBC,How Zohran Mamdani should confront Trump’s relentless intimidation campaign,https://www.msnbc.com/opinion/msnbc-opinion/trump-zohran-mamdani-nyc-mayor-response-rcna239351
Nia Prater,"With Election Day two weeks away, all eyes are on Curtis Sliwa, as pressure grows on the Guardian Angels founder and Republican nominee to drop his mayoral bid. On Monday, John Catsimatidis, a busin…",All five of the city’s Republican Party chairmen issued a statement backing Curtis Sliwa as their nominee as other top conservatives are urging him to leave the race.,Nov18_Left_pre.json,2025-10-21T16:45:35Z,new-york-magazine,New York Magazine,"Sliwa Defies Intense Pressure From Cuomo, Post to Drop Out",http://nymag.com/intelligencer/article/sliwa-defies-intense-pressure-from-cuomo-post-to-drop-out.html
Noor Noman,Zohran Mamdani moved me to tears. The New York City mayoral candidate released a six-minute video on Friday about his identity as a Muslim and the galling Islamophobia he has endured during his cam…,The New York City mayoral candidate released a video about his identity as a Muslim and the galling Islamophobia he has endured during his campaign.,Nov18_Left_pre.json,2025-10-28T17:32:44Z,msnbc,MSNBC,Zohran Mamdani said the quiet part out loud. Finally.,https://www.msnbc.com/opinion/msnbc-opinion/zohran-mamdani-muslim-new-york-mayor-islamophobia-rcna240132
"Nia Prater,Chas Danner","From its earliest days, there were signs that the 2025 mayoral race would be anything but typical, from scandal plagued Mayor Eric Adamss beleaguered reelection campaign, which ultimately came to an …","When we may know the winner, what the turnout means so far, and some other things to think about now that mayoral race between Zohran Mamdani and Andrew Cuomo is about to end.",Nov18_Left_pre.json,2025-11-04T11:00:12Z,new-york-magazine,New York Magazine,Six Things to Know Now That It’s Election Day,http://nymag.com/intelligencer/article/nyc-mayors-race-mamdani-cuomo-election-day-things-to-know.html
"Zack Stanton, Nnamdi Egwuonwu","On the cusp of electoral victory, New York mayoral frontrunner Zohran Mamdani marched over the Brooklyn Bridge on Monday and arrived at City Hall, where he greeted cheering supporters with a promise.…",Democratic socialist Zohran Mamdani is on the cusp of a mayoral win in New York. And national Democrats are concerned about what that means for the party.,Nov18_Left_pre.json,2025-11-04T10:00:41Z,msnbc,MSNBC,"As Mamdani nears victory, Democrats worry about national fallout",https://www.msnbc.com/msnbc/news/mamdani-nears-victory-democrats-worry-national-fallout-rcna241713
Allison Detzel,"With just over a week until Election Day in New York City, mayoral front-runner Zohran Mamdani hit back at JD Vance, accusing the vice president and members of his party of pushing cheap jokes about …","Zohran Mamdan hit back at JD Vance, accusing the vice president and opponent Andrew Cuomo of pushing “cheap jokes about Islamophobia.”",Nov18_Left_pre.json,2025-10-27T18:21:32Z,msnbc,MSNBC,Zohran Mamdani slams JD Vance for pushing ‘cheap jokes about Islamophobia’,https://www.msnbc.com/top-stories/latest/zohran-mamdani-hits-back-jd-vance-islamophobia-new-york-rcna240085
Chas Danner,"Andrew Cuomo is a snake and a liar, Mayor Eric Adamssaid last month, alleging that the former governor was trying to push him out of the mayoral race. He also described Cuomo and front-runner Zohran …",Soon-to-be former mayor Eric Adams and former governor who wants to be mayor Andrew Cuomo are making nice in the hopes of stopping Zohran Mamdani. It’s not clear if Adams will also say Cuomo is no longer ‘a snake and a liar.’,Nov18_Left_pre.json,2025-10-23T15:28:48Z,new-york-magazine,New York Magazine,Eric Adams Is Endorsing ‘Snake and Liar’ Cuomo for Mayor,http://nymag.com/intelligencer/article/eric-adams-endorsing-liar-and-snake-andrew-cuomo-for-nyc-mayor.html
Nia Prater,"Donald Trump has made no secret of his feelings about New Yorks mayoral race, inaccurately denouncing Democratic nominee Zohran Mamdani as a communist and threatening to withhold federal funding to t…","In the final days of the mayoral race, former governor Andrew Cuomo has been racking up quasi-endorsements from Donald Trump, Elon Musk, and some self-professed foes.",Nov18_Left_pre.json,2025-11-03T21:50:39Z,new-york-magazine,New York Magazine,Cuomo Is Racking Up Weird Last-Minute Endorsements,http://nymag.com/intelligencer/article/nyc-mayoral-race-cuomo-endorsed-by-trump-musk.html
Errol Louis,"As early voting begins, the race for mayor is barreling to an ugly conclusion, marked by bigotry, bitterness, and broken friendships. Picking the next mayor was never going to be a smooth affair this…","The last days have been marked by bigotry, bitterness, and broken friendships, writes columnist Errol Louis.",Nov18_Left_pre.json,2025-10-28T09:00:19Z,new-york-magazine,New York Magazine,The Final Leg of New York’s Mayoral Race Has Gotten Ugly,http://nymag.com/intelligencer/article/cuomo-sliwa-zohran-mamdani-nyc-mayor-ugly-finish.html
Nia Prater,"For months, Democratic mayoral nominee Zohran Mamdani, independent candidate Andrew Cuomo, and Republican nominee Curtis Sliwa have crossed the five boroughs to make their case to the voters on why t…","A long talk with political analyst Michael Lange about what we’ve learned from the massive New York City early vote, the final phase of the campaign, and why he’s as confident as ever about Mamdani claiming a big victory.",Nov18_Left_pre.json,2025-11-03T12:05:46Z,new-york-magazine,New York Magazine,Why Almost All Signs Point to a Mamdani Victory,http://nymag.com/intelligencer/article/nyc-mayoral-election-early-vote-analysis-mamdani-vs-cuomo.html
Antonia Hylton,"With less than a week to go in New York Citys mayoral race, Andrew Cuomo appeared on Fox News with host Maria Bartiromo to deliver his closing pitch to New Yorkers heading to the ballot box. And it w…","With less than a week to go in New York City’s mayoral race, Andrew Cuomo appeared on Fox News with host Maria Bartiromo to deliver his closing pitch to New Yorkers heading to the ballot box.",Nov18_Left_pre.json,2025-11-01T10:00:00Z,msnbc,MSNBC,Can Cuomo persuade enough New Yorkers to be scared of Mamdani?,https://www.msnbc.com/news/news-analysis/andrew-cuomo-zohran-mamdani-new-york-mayor-fear-tactics-rcna241140
Erum Salam,"President Donald Trump officially endorsed former Gov. Andrew Cuomo for New York City mayor on Monday, just one day before the highly anticipated general election. Whether you personally like Andrew…","The president had already offered tepid support in a CBS News interview aired on Monday, but doubled down just before the general election.",Nov18_Left_pre.json,2025-11-04T01:13:27Z,msnbc,MSNBC,Trump endorses former Gov. Andrew Cuomo for New York City mayor,https://www.msnbc.com/top-stories/latest/trump-endorses-andrew-cuomo-new-york-city-mayor-rcna241747
Ryan Teague Beckwith,"President Donald Trump may not be on the ballot Tuesday, but in many places, he might as well be. The presidents influence can be felt in several key races across the country, from candidates both p…",Several key races around the country will give an indication of President Donald Trump's continuing influence on politics.,Nov18_Left_pre.json,2025-11-04T14:14:51Z,msnbc,MSNBC,Trump is on the ballot in these seven races,https://www.msnbc.com/opinion/msnbc-opinion/election-day-virginia-new-jersey-new-york-project-47-rcna240971
Ed Kilgore,"On July 2, 2024, her 40th birthday, New York congresswoman Elise Stefanik seemed to be on top of the word. She was in her fifth term in the House after becoming (at the time) the youngest woman ever …",Elise Stefanik’s meteoric rise took a detour after Trump passed her over for the vice-presidency and then deep-sized her U.N. gig. Now she’s trying a very long shot at the New York governorship against Kathy Hochul in 2026.,Nov18_Left_pre.json,2025-10-31T14:26:46Z,new-york-magazine,New York Magazine,Elise Stefanik’s Bad Career Move: Running for Governor of New York,http://nymag.com/intelligencer/article/elise-stekaniks-bad-career-move-running-for-governor.html
Margaret Hartmann,"Dick Cheney, the War on Terror architect turned Donald Trump critic, is a divisive figure among both Democrats and Republicans. But he was vice-president for eight years and an influential figure in …","Trump lowers flags but says nothing about Dick Cheney’s death. The White House hasn’t issued a statement or response on the death of the former VP, who once called Trump the greatest “threat to our Republic.”",Nov18_Left_pre.json,2025-11-04T17:57:49Z,new-york-magazine,New York Magazine,"Trump Lowers Flags, Says Nothing About Dick Cheney’s Death",http://nymag.com/intelligencer/article/trump-response-dick-cheney-death.html
Allan Smith,"New York City mayoral hopeful Zohran Mamdani and two of his most prominent backers, Sen. Bernie Sanders and Rep. Alexandria Ocasio-Cortez, framed his election as a one-on-one battle versus President …","New York City mayoral hopeful Zohran Mamdani and two of his most prominent backers, Sen.",Nov18_Left_pre.json,2025-10-27T01:23:25Z,nbc-news,NBC News,"Zohran Mamdani, Bernie Sanders and Alexandria Ocasio-Cortez slam Trump at raucous rally",https://www.nbcnews.com/politics/elections/zohran-mamdani-bernie-sanders-alexandria-ocasio-cortez-slam-trump-rauc-rcna239944
"Alexandra Marquez, Ryan Nobles","House Minority Leader Hakeem Jeffries on Friday endorsed the Democratic nominee in the New York City mayoral race, Zohran Mamdani. Despite their areas of principled disagreement ... Zohran Mamdani h…","House Minority Leader Hakeem Jeffries on Friday endorsed the Democratic nominee in the New York City mayoral race, Zohran Mamdani",Nov18_Left_pre.json,2025-10-24T17:43:40Z,nbc-news,NBC News,Hakeem Jeffries endorses Zohran Mamdani for New York City mayor,https://www.nbcnews.com/politics/elections/hakeem-jeffries-endorses-zohran-mamdani-new-york-city-mayor-rcna239614
Allan Smith,"Multiple influencers who spoke with NBC News talked up the importance of being not just able to engage with Mamdani and welcomed by his campaign, but willing to hold him accountable for campaign prom…","Zohran Mamdani’s rapid rise in New York City has gone hand in hand with his savvy social media presence and easy navigation of the universe of influential podcasters, YouTubers and TikTokers",Nov18_Left_pre.json,2025-10-29T09:00:00Z,nbc-news,NBC News,Inside Zohran Mamdani’s private influencer briefing,https://www.nbcnews.com/politics/elections/zohran-mamdanis-private-influencer-briefing-rcna240260
Dareh Gregorian,"President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid."" Any Jewish person that votes for Zoh…","President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid.""“Any Jewish person that votes for Zohran Mamdani, a proven and self professed JEW HATER, is a stup…",Nov18_Left_pre.json,2025-11-04T21:39:11Z,nbc-news,NBC News,Trump says Jewish people who support Zohran Mamdani for New York City mayor are 'stupid',https://www.nbcnews.com/politics/elections/election-day-2025-trump-mamdani-jewish-voters-rcna241921
The Politics Desk,"Welcome to the online version of From the Politics Desk, a newsletter that brings you the NBC News Politics teams latest reporting and analysis from the White House, Capitol Hill and the campaign tra…",Republicans are increasingly eager to elevate New York City mayoral front-runner Zohran Mamdani ahead of next year's midterm elections.,Nov18_Left_pre.json,2025-10-27T21:30:00Z,nbc-news,NBC News,The GOP's move to take Mamdani national: From the Politics Desk,https://www.nbcnews.com/politics/politics-news/gop-move-take-mamdani-national-politics-desk-rcna240141
Benjamin Hart,"Lis Smith is one of the few political consultants who can approach the celebrity level of their clients. An opinionated, sometimes pugilistic presence in Democratic politics (and online), she is best…","Lis Smith, the outspoken Democratic campaign strategist, discusses Andrew Cuomo’s flailing campaign, Senator Ruben Gallego’s promise, and why Democrats need to speak to voters differently.",Nov18_Left_pre.json,2025-10-27T10:00:04Z,new-york-magazine,New York Magazine,Lis Smith Thinks Democrats Treat Voters Like Children,http://nymag.com/intelligencer/article/lis-smith-mamdani-cuomo-platner-obama-elections.html
Scott Wong,"WASHINGTON Top Republicans on Monday seized on House Democratic Leader Hakeem Jeffries endorsement of Zohran Mamdani for mayor of New York, casting the self-described Democratic socialist as the new …","Republicans are working to tie Zohran Mamdani, the Democratic socialist running for New York mayor, to the entire Democratic Party ahead of the midterm elections next year.",Nov18_Left_pre.json,2025-10-27T18:13:39Z,nbc-news,NBC News,Republicans work to make Zohran Mamdani the face of the Democratic Party,https://www.nbcnews.com/politics/elections/republicans-work-make-zohran-mamdani-face-democratic-party-rcna240069
Raquel Coronell Uribe,"President Donald Trump on Monday endorsed former New York Gov. Andrew Cuomo, a lifelong Democrat running as an independent, in New York's mayoral election. The president urged voters not to cast a b…","The president endorsed Cuomo, who is running as an independent against Democratic nominee Zohran Mamdani, instead of Republican candidate Curtis Sliwa.",Nov18_Left_pre.json,2025-11-03T23:30:09Z,nbc-news,NBC News,Trump endorses Andrew Cuomo on eve of New York mayoral election: 'You really have no choice',https://www.nbcnews.com/politics/elections/trump-endorses-andrew-cuomo-new-york-mayoral-election-sliwa-mamdani-rcna241736
Nnamdi Egwuonwu,"The Democratic Party cant agree on much these days not on shutdown strategy, not on Gaza, not on abundance. But walk into any Democratic campaign event this election season, and youll hear the same r…","From Zohran Mamdani in New York to Mikie Sherrill in New Jersey and Abigail Spanberger in Virginia, Democrats are showing what they’ve learned from Trump’s win.",Nov18_Left_pre.json,2025-10-31T09:00:00Z,msnbc,MSNBC,Democrats find a post-Trump message: Make life more affordable,https://www.msnbc.com/msnbc/news/democrats-2025-election-mamdani-sherrill-spanberger-midterms-message-rcna240740
Alexandra Marquez,"One day before early voting begins in the New York mayoral race, Democratic nominee Zohran Mamdani condemned the racist, baseless attacks hes faced in recent days, saying the attacks exemplify the is…","One day before early voting begins in the New York mayoral race, Democratic nominee Zohran Mamdani condemned the “racist, baseless” attacks he’s faced in recent days, saying the attacks exemplify the islamophobia Muslims all over New York face every day.""I ha…",Nov18_Left_pre.json,2025-10-24T18:56:44Z,nbc-news,NBC News,"Zohran Mamdani decries 'racist, baseless attacks' in an emotional speech about Islamophobia in New York City",https://www.nbcnews.com/politics/politics-news/zohran-mamdani-decries-racist-baseless-attacks-emotional-speech-islamo-rcna239632
Adam Edelman,Zohran Mamdani and Andrew Cuomo clashed Wednesday in a final New York City mayoral debate that put on full display their personal animosity and their array of disagreements on both city and national …,Zohran Mamdani and Andrew Cuomo clashed Wednesday in a final New York City mayoral debate that put on full display their personal animosity and their array of disagreements on both city and national issues,Nov18_Left_pre.json,2025-10-23T02:00:14Z,nbc-news,NBC News,Zohran Mamdani and Andrew Cuomo trade insults in final NYC mayoral debate,https://www.nbcnews.com/politics/elections/zohran-mamdani-andrew-cuomo-trade-insults-final-nyc-mayoral-debate-rcna238680
"Sam Brock, Adam Reiss","On Sunday night in Queens, the vibrations from thousands of cheering Zohran Mamdani supporters reverberated throughout Forest Hills Stadium, as the audience burst into the same chant as speaker after…","Mamdani’s surge past former Gov. Andrew Cuomo in June’s Democratic primary for New York City mayor didn’t just put the 34-year-old state assemblyman on the political map. It also shined a brighter spotlight on the Democratic Socialists of America, or DSA.",Nov18_Left_pre.json,2025-10-30T21:55:17Z,nbc-news,NBC News,Zohran Mamdani's rise shines a brighter spotlight on democratic socialists,https://www.nbcnews.com/politics/elections/zohran-mamdanis-rise-shines-brighter-spotlight-democratic-socialists-rcna240720
Ben Kamisar,"Former New York Gov. Andrew Cuomo appeared to laugh briefly and agree with a radio host who said during a Thursday interview that Zohran Mamdani would be ""cheering"" if ""another 9/11"" happened on his …","Former New York Gov. Andrew Cuomo appeared to laugh briefly and agree with a radio host who said during a Thursday interview that Zohran Mamdani would be ""cheering"" if ""another 9/11"" happened on his watch.",Nov18_Left_pre.json,2025-10-23T16:57:21Z,nbc-news,NBC News,Cuomo says 'that's another problem' when radio host says Mamdani would cheer a terror attack,https://www.nbcnews.com/politics/elections/andrew-cuomo-says-another-problem-radio-host-says-zohran-mamdani-cheer-rcna239333
Ben Kamisar,A super PAC supporting former New York Gov. Andrew Cuomo in the New York mayoral election is running a late ad that depicts Democratic nominee Zohran Mamdani in front of video of the Twin Towers cras…,A super PAC supporting former New York Gov.,Nov18_Left_pre.json,2025-11-03T22:36:44Z,nbc-news,NBC News,Pro-Andrew Cuomo super PAC depicts Zohran Mamdani in front of Twin Towers attack in late ad,https://www.nbcnews.com/politics/elections/-andrew-cuomo-super-pac-depicts-zohran-mamdani-front-twin-towers-attac-rcna241651
Ed Kilgore,Most of the known metrics for next Tuesdays gubernatorial election in New Jersey suggest cautious optimism for Democratic nominee Mikie Sherrill. All but one public poll in the entire cycle has shown…,"Democrat Mikie Sherrill is favored to win New Jersey’s close governor’s race, but Jack Ciattarelli beat expectations in 2021, as did Trump last year.",Nov18_Left_pre.json,2025-10-30T18:35:09Z,new-york-magazine,New York Magazine,Democrats White-Knuckling Close New Jersey Governor’s Race,http://nymag.com/intelligencer/article/new-jersey-governors-race-sherrill-ciatterelli-final-polls-analysis.html
Ben Kamisar,The share of registered voters with positive views of capitalism has dropped under 50% for the first time in seven years of NBC News polling on the issue a shift that comes as some democratic sociali…,"The share of registered voters with positive views of capitalism has dropped under 50% for the first time in seven years of NBC News polling on the issue — a shift that comes as some democratic socialists, like New York mayoral hopeful Zohran Mamdani, gain pr…",Nov18_Left_pre.json,2025-11-02T14:00:00Z,nbc-news,NBC News,"Views of capitalism slip, but socialism is still unpopular even as Mamdani gains prominence",https://www.nbcnews.com/politics/elections/poll-views-capitalism-slip-socialism-still-unpopular-zohran-mamdani-rcna241175
Ja'han Jones,Happy Tuesday! Heres your Tech Drop: the weeks top stories from the intersection of technology and politics. The scale of Trumps crypto self-enrichment A new Reuters report breaks down the Trump fa…,"Plus, Trump Jr.’s drone company nets a government contract, Kyrsten Sinema’s tech fantasies spark outcry, the Trump admin expands surveillance, and more.",Nov18_Left_pre.json,2025-10-28T22:01:17Z,msnbc,MSNBC,Report shows massive scale of Trump family’s crypto gambit,https://www.msnbc.com/top-stories/latest/trump-cryptocurrency-bennie-thompson-sequoia-mamdani-rcna240349
Katherine Koretski,"New York City Mayor Eric Adams is set to endorse former Gov. Andrew Cuomo ahead of the city's mayoral election in November. Todd Shapiro, a spokesperson for Adams, confirmed the news in a statement …",New York City Mayor Eric Adams is set to endorse former Gov.,Nov18_Left_pre.json,2025-10-23T15:44:36Z,nbc-news,NBC News,New York City Mayor Eric Adams backs Andrew Cuomo in the race to succeed him,https://www.nbcnews.com/politics/elections/new-york-city-mayor-eric-adams-backs-andrew-cuomo-race-succeed-rcna239364
Errol Louis,"New York voters, already preparing to elect a new mayor, are also voting on four referendum questions that, if approved, will amend the City Charter in ways that drastically limit the power of indivi…","New York City’s mayoral race is high-stakes. But a ballot question that could remove one of the central obstacles to the city’s housing crisis may be even more important, Errol Louis writes.",Nov18_Left_pre.json,2025-10-21T10:00:35Z,new-york-magazine,New York Magazine,The Ballot Question that May Matter More Than the Mayoral Race,http://nymag.com/intelligencer/article/nyc-mayor-race-mamdani-cuomo-housing.html
Simon van Zuylen-Wood,"Since last Novembers election defeat, the Democratic Party has been subject to an endless battery of postmortems, and a shadow primary is already being fought over whos got the formula to bring it ba…",How the conflicting visions of the Bernie Sanders-led populist left and abundance centrists are battling to redefine the future of Democratic party.,Nov18_Left_pre.json,2025-10-31T09:00:57Z,new-york-magazine,New York Magazine,Socialism or Abundance?,http://nymag.com/intelligencer/article/sociaism-vs-abundance-bernie-sanders-aoc-mamdani-democrats-future.html
Simon van Zuylen-Wood,"This article was featured in New Yorks One Great Story newsletter. Sign up here. Since last Novembers election defeat, the Democratic Party has been subject to an endless battery of postmortems, and…",How the conflicting visions of the Bernie Sanders-led populist left and abundance centrists are battling to redefine the future of Democratic party.,Nov18_Left_pre.json,2025-10-31T09:00:57Z,new-york-magazine,New York Magazine,Socialism or Abundance?,http://nymag.com/intelligencer/article/socialism-vs-abundance-bernie-sanders-aoc-mamdani-democrats-future.html
The Politics Desk,"Welcome to the online version of From the Politics Desk, a newsletter that brings you the NBC News Politics teams latest reporting and analysis from the White House, Capitol Hill and the campaign tra…","Welcome to the online version of From the Politics Desk, a newsletter that brings you the NBC News Politics team’s latest reporting and analysis from the White House, Capitol Hill and the campaign trail",Nov18_Left_pre.json,2025-10-28T21:30:00Z,nbc-news,NBC News,What Andrew Cuomo's narrow path to a NYC comeback would look like: From the Politics Desk,https://www.nbcnews.com/politics/politics-news/andrew-cuomo-narrow-path-nyc-comeback-politics-desk-rcna240361
Dareh Gregorian,A British newspaper has removed an article that included quotes attributed to former New York City Mayor Bill de Blasio criticizing Democratic mayoral nominee Zohran Mamdani after de Blasio said the …,"A British newspaper has removed an article that included quotes attributed to former New York City Mayor Bill de Blasio criticizing Democratic mayoral nominee Zohran Mamdani after de Blasio said the quotes were fabricated.""The story in the Times of London is …",Nov18_Left_pre.json,2025-10-29T17:23:30Z,nbc-news,NBC News,Newspaper removes interview with Bill de Blasio after former NYC mayor says the quotes were 'fabricated',https://www.nbcnews.com/politics/politics-news/newspaper-removes-interview-bill-de-blasio-former-nyc-mayor-says-quote-rcna240526
