from_json,title,description,Topic Label
Nov18_Center_pre.json,WATCH: Obama: 'Country and our politics are in a pretty dark place right now',"Jersey's race for governor at a rally in Newark on Saturday, saying the ""country and our politics are in a pretty dark place right now.""",US Politics
Nov18_Center_pre.json,"Affordability takes center stage in New Jersey, Virginia governor races","How voters are grappling with economic challenges, and who they hold responsible for them, could shape the outcome of the major gubernatorial races.",Mayoral Election (analysis)
Nov18_Center_pre.json,"Trump calls NYC mayoral front-runner Zohran Mamdani a ""communist""","Some have called Zohran Mamdani, the Democratic socialist front-runner for New York City mayor, a left-wing version of President Trump. ""I think I'm a much better looking person than him,"" says Trump, after calling Mamdani a ""communist.""",Trump
Nov18_Center_pre.json,Zohran Mamdani says Andrew Cuomo uses 'racist' attacks in NYC mayor's race,"NYC mayoral frontrunner Zohran Mamdani, a Democrat said the ""disgusting"" attacks on his Muslim faith are coming from both parties.",Racism
Nov18_Center_pre.json,"Trump: ""Hard for me"" to give money to NYC if ""communist"" Mamdani is mayor","Days before Election Day, the president told correspondent Norah O'Donnell that he would potentially withhold federal funds if front-runner Zohran Mamdani wins the election for NYC mayor.",Trump
Nov18_Center_pre.json,"Bernie Sanders says a Mamdani win in NYC would send message that ""we can take on the oligarchs""","Vermont Sen. Bernie Sanders joins ""The Takeout"" to discuss his support for Zohran Mamdani in the New York City mayoral race, one day before Election Day.",Mayoral Election (analysis)
Nov18_Center_pre.json,Democratic socialist Zohran Mamdani shoots to stardom ‘like a young Obama',The overnight sensation leading NYC polls has a lot in common with another telegenic young politician who skyrocketed to fame.,Democrat Party Politics
Nov18_Center_pre.json,"Obama, Mamdani talk as Election Day approaches in New York City mayor's race","Zohran Mamdani is viewed as the leading candidate to become the next mayor of New York City, even as the contest has divided the normal partisan lines between Republicans and Democrats.",US Politics
Nov18_Center_pre.json,"Obama called Mamdani and praised his campaign, sources tell CBS News","Former President Barack Obama rallied with Virginia's Democratic candidate for governor, Abigail Spanberger, on Saturday, a move he has not made for New York City mayoral candidate Zohran Mamdani. But sources tell CBS News that Obama called Mamdani and praise…",Democrat Party Politics
Nov18_Center_pre.json,"Brian Lehrer on final New York City mayoral debate between Mamdani, Cuomo and Sliwa","Brian Lehrer, host of ""The Brian Lehrer Show"" on WNYC, joins CBS News with his thoughts on Wednesday night's debate between New York City mayoral candidates Zohran Mamdani, Andrew Cuomo and Curtis Sliwa.",Mayoral Election (analysis)
Nov18_Center_pre.json,What to know about NYC mayoral race as voters head to polls,"In the New York mayoral race, self-described Democratic socialist Zohran Mamdani leads former New York Democratic Gov. Andrew Cuomo in the polls. CBS News' Ed O'Keefe reports on the latest in the race.",Mayoral Election (coverage)
Nov18_Center_pre.json,"What New York City power players think of Zohran Mamdani, according to former Obama aide","Patrick Gaspard, a former executive director for the Democratic National Committee, has helped connect New York City mayoral candidate Zohran Mamdani with many of the city's power players, according to The New York Times. Gaspard joins ""The Takeout"" to discus…",Democrat Party Politics
Nov18_Center_pre.json,Democratic Rep. Tom Suozzi explains why he's not backing Zohran Mamdani for NYC mayor,"Democratic Rep. Tom Suozzi of New York is backing Andrew Cuomo in the New York City mayoral race over Zohran Mamdani, the winner of the city's Democratic primary. Suozzi joins ""The Takeout"" to explain why.",Mayoral Election (analysis)
Nov18_Center_pre.json,"Cuomo could still beat Mamdani in NYC mayoral race, political analyst says","Andrew Cuomo, Zohran Mamdani and Curtis Sliwa faced off in the final New York City mayoral debate on Wednesday. Political analyst Hank Sheinkopf joins CBS News with his take on the potential outcomes of the race.",Mayoral Election (analysis)
Nov18_Center_pre.json,"New York City early vote count blows past 400,000 mark","New York City is seeing a massive early voting spike compared to 2021 due to the high-profile mayoral race between Zohran Mamdani, Andrew Cuomo and Curtis Sliwa. CBS News' director of election analytics Kabir Khanna breaks down the numbers.",Mayoral Election (analysis)
Nov18_Center_pre.json,"Trump: Will be ""hard"" to give money if ""communist"" Mamdani is mayor","Days before Election Day, the president dismissed former New York governor Andrew Cuomo's suggestion that he would send ""tanks"" to New York City if front-runner Zohran Mamdani wins.",Trump
Nov18_Center_pre.json,Zohran Mamdani commands double-digit lead over opponents in New York City mayoral race,"Voters in New York, New Jersey, Virginia and California have already hit the polls for early voting before election day on Nov. 4. CBS News producer Jared Ochacher is following the New York City mayoral race.",Mayoral Election (coverage)
Nov18_Right_pre.json,Zohran Mamdani Calls ICE 'Reckless Entity' in Vow to Make New York City's Sanctuary Policy More Extreme,"Democrat candidate for New York City mayor Zohran Mamdani, a self-proclaimed socialist, is vilifying ICE agents. The post Zohran Mamdani Calls ICE ‘Reckless Entity’ in Vow to Make New York City’s Sanctuary Policy More Extreme appeared first on Breitbart.",ICE
Nov18_Right_pre.json,Hakeem Jeffries Surrenders Democrat Party to Zohran Mamdani,"Socialists have succeeded in capturing a major American political party, as House Minority Leader Hakeem Jeffries endorsed Democratic socialist New York City mayoral nominee Zohran Mamdani Friday after months of resistance and internal division. The post Hake…",Democrat Party Politics
Nov18_Right_pre.json,Zohran Mamdani: My Politics Are Built on Extending Human Rights to 'Queer and Trans Ugandans',"New York socialist mayoral candidate Zohran Mamdani said during Wednesday night's debate that his political beliefs are rooted in believing that human rights extend to queer and trans individuals, including ""queer and trans Ugandans,"" specifically. The post Z…",Mayoral Election (analysis)
Nov18_Right_pre.json,"Arafat’s Former Adviser, Palestinian-Israeli MK Ahmad Tibi, Endorses NYC Socialist Zohran Mamdani","One of Israel’s most polarizing lawmakers — Ahmad Tibi, a member of the Knesset who describes himself as Palestinian-Israeli and once served as an adviser to Yasser Arafat — urged New Yorkers to “Go Zohran!” on Monday, hailing socialist mayoral nominee Zohran…",Isreal-Palestine Conflict
Nov18_Right_pre.json,Socialist Zohran Mamdani Vows to Fight Trump Administration over Trump Funding Threats,"New York City (NYC) Democrat socialist mayoral candidate Zohran Mamdani vowed that if elected to be the next mayor of the city, he would fight against President Donald Trump and his administration in response to threats to stop federal funding from going to t…",Trump
Nov18_Right_pre.json,Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor,An incredible 26.5 percent of New York City residents are considering fleeing the city if the Democrat/communist/Islamist Zohran Mamdani wins next month’s mayoral race. The post Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor a…,NYC Exodus/Degredation
Nov18_Right_pre.json,Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign Contributions,"Communist/Islamist/Fabulist/Democrat Zohran Mamdani is less than one week away from becoming the next mayor of New York City, and already he is facing two criminal referrals. The post Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign …",Gossip
Nov18_Right_pre.json,WATCH: Zohran Mamdani Tries to Blame Trump for Election-Day Bomb Threats,"New York City mayoral candidate, socialist Zohran Mamdani, appeared to blame President Donald Trump for bomb threats at polling places in New Jersey on Tuesday as voters showed up to cast their ballots. The post WATCH: Zohran Mamdani Tries to Blame Trump for …",Trump
Nov18_Right_pre.json,F*ck New York': Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign,"Ex-Braves pitcher John Rocker is raking New York City over the coals once again, this time about socialist mayoral candidate Zohran Mamdani. The post ‘F*ck New York’: Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign appeared first on Br…",Gossip
Nov18_Right_pre.json,Zohran Mamdani Says He Will Defend Illegal Aliens' Right to Live in NYC,Democrat mayoral candidate Zohran Mamdani says he will defend the rights of illegal aliens to live in New York City against President Donald Trump. The post Zohran Mamdani Says He Will Defend Illegal Aliens’ Right to Live in NYC appeared first on Breitbart.,Trump
Nov18_Right_pre.json,"*** Election Night LiveWire *** Results in New York, New Jersey, Virginia as Zohran Mamdani Rises to Become Leader of Democrat Party","Socialist Zohran Mamdani will complete his hostile takeover of the Democrat Party nationally, assuming the polls are right and he is elected mayor of New York City on Tuesday. When the race is called, assuming he wins, Mamdani will have successfully supplante…",Gossip
Nov18_Right_pre.json,Trump on Mamdani: 'I'm a Much Better Looking Person',"On Sunday's ""60 Minutes,"" President Donald Trump said he is better-looking than Queens Assemblyman and New York City mayoral candidate Zohran Mamdani (D). The post Trump on Mamdani: ‘I’m a Much Better Looking Person’ appeared first on Breitbart.",Trump
Nov18_Right_pre.json,Michael Rapaport Slams Zohran Mamdani Over His Refusal to Condemn Hamas: 'He Is So Full of F**king S**t',"Michael Rapaport slammed Democrat Socialist New York City mayoral frontrunner Zohran Mamdani over his refusal to call on the terrorist group Hamas to lay down their arms. ""He is so full of f**king s**t,"" the actor declared. The post Michael Rapaport Slams Zoh…",Isreal-Palestine Conflict
Nov18_Right_pre.json,Trump Endorses Cuomo for NYC Mayor,State of the Union: Cuomo earns President Trump’s seal of approval the night before Tuesday’s election. The post Trump Endorses Cuomo for NYC Mayor appeared first on The American Conservative.,Trump
Nov18_Right_pre.json,"International Filmmaker Mira Nair, Zohran Mamdani's Mother, Described Her Socialist Son as 'Not an American at All'","Indian American filmmaker Mira Nair — the mother of Democrat Socialist New York City mayoral frontrunner Zohran Mamdani — described her son as ""not an American at all"" in an unearthed 2013 interview. The post International Filmmaker Mira Nair, Zohran Mamdani’…",Gossip
Nov18_Right_pre.json,Maher: Mamdani 'Did Campaign with a Terrorist',"On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher said that “Sarah Palin used to say Obama palled around with terrorists, which was bullshit,” but New York City mayoral candidate Assemblyman Zohran Mamdani (D) “did campaign with a terrorist The post…",Gossip
Nov18_Right_pre.json,"Exclusive -- Nate Morris: America Will Have More Zohran Mamdanis if We Do Not Secure Border, Send Illegal Aliens Back",Kentucky Senate Republican candidate Nate Morris said on Breitbart News Saturday that America will have more socialist candidates such as Zohran Mamdani if the country does not secure the border and send illegal aliens back. The post Exclusive — Nate Morris: …,Racism
Nov18_Right_pre.json,"Andrew Cuomo Distances Himself from Trump Endorsement: POTUS 'Does Not Support Me,' Opposes 'Existential Threat' Mamdani","Former New York Gov. and New York City mayoral candidate Andrew Cuomo (D) responded to the news that President Donald Trump endorsed him, pointing out that Trump ""opposes"" Democrat Socialist NYC mayoral candidate Zohran Mamdani more, and believes Mamdani is a…",Trump
Nov18_Right_pre.json,Michael Moore Promotes Hoax Mamdani Aunt Story While Backing 'New York City's Next Mayor',"Far-left filmmaker Michael Moore has fallen head-over-heels for Zohran Mamdani, frontrunner in New York City's mayoral race, and promoted the Democratic Socialist's questionable story of his ""aunt"" facing Islamophobia after the September 11 terrorist attacks.…",Racism
Nov18_Right_pre.json,Informal Mamdani Adviser: His Israel Views Are Crucial to Getting Support,"During a portion of an interview with PBS aired on Monday’s “PBS NewsHour,” Patrick Gaspard, an informal adviser to the campaign of New York City mayoral candidate Assemblyman Zohran Mamdani, said that Mamdani’s (D) views on Israel and Gaza are The post Infor…",Isreal-Palestine Conflict
Nov18_Right_pre.json,Mamdani Campaigns with Unindicted Co-Conspirator in 1993 WTC Bombing,"New York City Democratic Party mayoral nominee Zohran Mamdani campaigned Friday with radical Imam Siraj Wahhaj, an Islamist who was an unindicted co-conspirator in the 1993 World Trade Center bombing. The post Mamdani Campaigns with Unindicted Co-Conspirator …",Gossip
Nov18_Right_pre.json,Researchers: China's TikTok Boosts Pro-Mamdani Content in Algorithm,"Researchers say they found that China's TikTok ""systematically boosts"" content using in favor of Socialist New York City mayoral candidate Zohran Mamdani and against former NYC Mayor Andrew Cuomo (D) using its content algorithm. The team asserts that this goe…",Gossip
Nov18_Right_pre.json,Poll: Elise Stefanik Leads Kathy Hochul in Deep-Blue New York as Socialist Mamdani Tops Mayoral Field,"A new independent survey shows Rep. Elise Stefanik (R-NY) edging ahead of Democrat Gov. Kathy Hochul in a potential 2026 gubernatorial matchup, even as New York City Assemblyman Zohran Mamdani maintains a commanding lead in the upcoming mayoral race. The post…",US Politics
Nov18_Right_pre.json,AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’,"Rep. Alexandria Ocasio-Cortez joined NYC mayoral nominee Zohran Mamdani at a rally in Queens, calling on supporters to reject claims that their movement is “crazy.” The post AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’ appeared …",Mayoral Election (analysis)
Nov18_Right_pre.json,"Newsom: Mamdani Isn't Bad for Party, Dems Can Unite on Common 'Social Justice,' 'Economic Justice'","During an interview with CNN aired on Monday’s broadcast of CNN’s “The Story Is,” California Gov. Gavin Newsom (D) said that New York City mayoral candidate Assemblyman Zohran Mamdani (D) isn’t bad for the Democratic Party and responded to a The post Newsom: …",Democrat Party Politics
Nov18_Right_pre.json,Charlemagne Tha God: It’s Time Schumer and Jeffries Face Primaries So Socialists Like Mamdani Can Have a Chance to Lead Democrats,Popular liberal radio host and podcaster Charlemagne Tha God used Comedy Central's platform to call for Democrat leaders to face primaries so socialists like Zohran Mamdani could get their shot at leading the increasingly left-wing party. The post Charlemagne…,Democrat Party Politics
Nov18_Right_pre.json,Veteran British Socialist Jeremy Corbyn Campaigning For Zohran Mamdani Ahead of New York Election,"Corbyn once called U.S. involvement in British elections ""entirely unacceptable"" and was purged from his own party over antisemitism scandals. The post Veteran British Socialist Jeremy Corbyn Campaigning For Zohran Mamdani Ahead of New York Election appeared …",Mayoral Election (analysis)
Nov18_Right_pre.json,"Trump Urges NYC to Vote for Andrew Cuomo, Warns Voting for Curtis Sliwa 'Is a Vote For' Socialist Mamdani","President Donald Trump encouraged people in New York City to vote for former New York Gov. Andrew Cuomo (D) in the city's mayoral election, warning that a vote for NYC Republican mayoral candidate Curtis Sliwa is a ""vote for"" socialist Zohran Mamdani, the Dem…",Trump
Nov18_Right_pre.json,"Exclusive -- Rep. Lawler Warns: Mamdani’s Marxist Agenda Will Shatter NYC’s Global Financial Standing, Spark Mass Exodus","Rep. Mike Lawler (R-NY) warned New York City — the financial capital of the world — would face “a complete disaster” if socialist Assemblyman Zohran Mamdani takes power, cautioning his radical agenda on policing and governance will endanger the city’s safety …",NYC Exodus/Degredation
Nov18_Right_pre.json,Exclusive — Top 9/11 Lawyer: ‘We Can’t Let Mamdani Near City Hall’,"Survivors, first responders, and victims’ families from the 9/11 community are “disgusted and outraged” by Zohran Mamdani’s decision to campaign and pose for a smiling photo with a radical imam once named as an unindicted co-conspirator in the 1993 World Trad…",Racism
Nov18_Right_pre.json,Report: NYC Mayor Eric Adams to Endorse Andrew Cuomo for Mayor,New York City Mayor Eric Adams (D) is expected to endorse former New York Gov. Andrew Cuomo (I) for mayor. The post Report: NYC Mayor Eric Adams to Endorse Andrew Cuomo for Mayor appeared first on Breitbart.,Mayoral Election (analysis)
Nov18_Right_pre.json,Trump Administration Will Dole Out Partial SNAP Benefits amid Democrat Government Shutdown,The Trump administration is expected to dole out partial Supplemental Nutrition Assistance Program (SNAP) benefits as they were not given at the beginning of the month due to Democrats refusing to reopen the government more than a dozen times. The post Trump …,Trump
Nov18_Right_pre.json,Curtis Sliwa Melts Down on Radio Interview After Being Told He Will 'Lose Badly',"New York City (NYC) Republican mayoral candidate Curtis Sliwa melted down during a radio interview on Wednesday after he was informed he was ""going to lose badly."" The post Curtis Sliwa Melts Down on Radio Interview After Being Told He Will ‘Lose Badly’ appea…",Mayoral Election (analysis)
Nov18_Right_pre.json,Billionaire Mike Bloomberg Affirms Support for Andrew Cuomo in NYC Mayoral Race: Cuomo Has 'Experience',"Billionaire Michael Bloomberg reaffirmed his support for former New York Gov. Andrew Cuomo (D) in New York City's mayoral race, highlighting how ""Cuomo has the experience and toughness"" to stand up for the people of the city. The post Billionaire Mike Bloombe…",Mayoral Election (analysis)
Nov18_Right_pre.json,"Suozzi: Raising Taxes, Minimum Wage Is Bad for NY, Do It at National Level","On Monday’s edition of CBS’s “The Takeout,” Rep. Tom Suozzi (D-NY) said that if New York raises taxes on the state or city levels, it will chase people and businesses out and raising the minimum wage would do likewise, and The post Suozzi: Raising Taxes, Mini…",Mayoral Election (analysis)
Nov18_Right_pre.json,Speaker Johnson: Democrats Shut Down the Government Because They Fear Far-Left Activists,"Democrats shut down the government because they fear far-left activists, House Speaker Mike Johnson (R-LA) said during a press conference on day 28 of the shutdown. The post Speaker Johnson: Democrats Shut Down the Government Because They Fear Far-Left Activi…",Democrat Party Politics
Nov18_Right_pre.json,ICE Cracks Down on Illegal Street Vendors in New York City,"Immigration and Customs Enforcement (ICE) agents descended on Chinatown’s Canal Street Tuesday, going after illegal street vendors. The post ICE Cracks Down on Illegal Street Vendors in New York City appeared first on Breitbart.",ICE
Nov18_Right_pre.json,Democrat Mikie Sherrill Faces Attacks from Both Directions as Election Nears,"Democratic gubernatorial candidate Mikie Sherrill is now the target of a mailer criticizing her positions from a newly formed outside group while, separately, a Republican sheriff candidate in Hudson County is rolling campaign trucks through neighborhoods urg…",US Politics
Nov18_Right_pre.json,Exclusive—Elizabeth Barcohana: Newsom’s Proposition 50 Will Grow the Hamas Caucus in Washington,"Gavin Newsom's Prop 50 is a danger not just for California or Republicans, but for everyone. The post Exclusive—Elizabeth Barcohana: Newsom’s Proposition 50 Will Grow the Hamas Caucus in Washington appeared first on Breitbart.",Isreal-Palestine Conflict
Nov18_Right_pre.json,Exclusive--Veteran Action Ad Showcases Zohran Mamdani's 'Radical Islamic Agenda',"An ad from Veteran Action showcases the ""radical Islamic agenda"" of New York City's socialist mayoral candidate Zohran Mamdani. The post Exclusive–Veteran Action Ad Showcases Zohran Mamdani’s ‘Radical Islamic Agenda’ appeared first on Breitbart.",Racism
Nov18_Right_pre.json,Houston's Democrat Mayor Says He and Socialist Zohran Mamdani Exist in 'Different Universes',"The Democrat mayor of Houston, Texas, criticized Democrat socialist and New York City mayoral candidate Zohran Mamdani during a recent interview with the New York Times. The post Houston’s Democrat Mayor Says He and Socialist Zohran Mamdani Exist in ‘Differen…",Democrat Party Politics
Nov18_Left_post.json,RESULTS,"See live election results for the New York City mayoral race between Democrat Zohran Mamdani, Independent Andrew Cuomo and Republican Curtis Sliwa.",Mayoral Election (coverage)
Nov18_Left_post.json,Zohran Mamdani’s Young Revolution,"New York was once a city of possibilities, even for the less well-off. Can it be again?, wonders columnist Errol Louis.",NYC Exodus/Degredation
Nov18_Left_post.json,Inside Zohran Mamdani’s Election Day,"The photographer Sinna Nasseri embedded with Zohran Mamdani’s team on Election Day, capturing his journey from the voting booth to the barbershop to his victory party.",Mayoral Election (coverage)
Nov18_Left_post.json,Trump Suggests He’s Open to Meeting Mamdani,"President Donald Trump suggested that he was open to meeting with Mayor-elect Zohran Mamdani, telling reporters, ‘We’ll work something out.’",Trump
Nov18_Left_post.json,What Curtis Sliwa Told Zohran Mamdani on Election Night,"Curtis Sliwa, the boisterous Republican who frustrated Andrew Cuomo, says he plans to do the same to Zohran Mamdani after a conciliatory phone call last night.",Mayoral Election (analysis)
